3.373526958792736252e+01,3.222735449489063342e+01,2.490029632073853634e+02
5.768309105861200692e+01,7.452160848415643102e+01,2.672445571551979242e+02
7.224546405201861887e+01,7.527141486263182912e+01,3.160009910638470956e+02
3.398274203740692201e+01,3.153239169649739182e+01,2.493267525989192279e+02
5.594784729079941599e+01,6.687882488862537400e+01,2.715077833970180450e+02
7.290869262239412762e+01,7.467883747623291413e+01,3.080644161950062312e+02
3.262226869172192778e+01,3.309763132291803345e+01,2.441397154444870239e+02
3.240869323617614128e+01,3.693053879905083647e+01,2.481142934792064523e+02
3.904989800620673890e+01,4.645980046017446341e+01,2.507375669862733218e+02
4.159681378786617501e+01,4.996619561740350690e+01,2.561050854788795164e+02
3.269336009176062419e+01,3.992016893791684140e+01,2.445103484635277198e+02
4.729431192528387840e+01,4.836350593776200668e+01,2.489245329603758705e+02
6.215056846371025046e+01,6.931005083115981336e+01,2.538473837576468952e+02
3.794782151294911188e+01,4.170321015103782258e+01,2.486469919271746960e+02
5.222544449188528404e+01,5.380455501788931372e+01,2.557269854809429717e+02
6.683294377114117424e+01,8.674431707318898077e+01,2.572989820454188816e+02
